companyConceptProductId,centralProductId,productName,categories,itemCount,taxExempt,reportByUnit,latestPrice
669989714,null,Alberta Premium Cask Strength Rye,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,49.0
797916797,null,Alcohol Swabs 1*1 2Ply Medline,"[{'categoryId': '1079', 'percentAllocation': 100.0}]",0,False,200 Each,5.66
1062478872,null,Alderete Blanco Tequila,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (750 Milliliters),17.08
953814139,null,All Purpose Clnr (Fabuloso),"[{'categoryId': '1137', 'percentAllocation': 100.0}]",1,False,4 Each,85.03
668377634,null,All Season Pilsner Keg (1/6BBL),"[{'categoryId': '1157', 'percentAllocation': 100.0}]",1,False,Keg (1/6BBL) 5.16GAL,85.0
669213087,null,Alma Finca Orange Liqueur,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (Liter),30.09
686733176,null,Alma Tepec,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,30.0
690365632,null,Alma Tepec Chile Pasilla  Liqueur,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),29.73
1021239534,585583265,"Almonds, Marcona","[{'categoryId': '1059', 'percentAllocation': 100.0}]",0,False,Pound,19.7
663634167,99,"Almonds, Sliced","[{'categoryId': '1099', 'percentAllocation': 100.0}]",2,False,Pound,5.62
989670551,585584414,"Almonds, Whole","[{'categoryId': '1059', 'percentAllocation': 100.0}]",0,False,Pound,0.0
683507694,null,Alta Verde Amaro,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),18.0
1127264234,null,Altxor Txakolina Blanco 2024,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),11.33
686733419,607173857,Alvear Cream Sherry,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,13.33
765845506,null,Amanoya Himemaru Ara,"[{'categoryId': '1099', 'percentAllocation': 100.0}]",2,False,Each,2.19
736130187,null,Amara Blood Orange Liquer,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,bottle (750 Milliliters),32.0
663630712,null,Amaras Joven Espadin Mezcal,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (750 Milliliters),30.09
740984145,null,Amaras Verde Joven Espadin Mezcal,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (Liter),22.0
1070460525,null,Amaro Dell'Erborista,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),60.0
668484492,null,Amaro Sfumato Rabarbaro 40PF,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),20.25
